['UV', 83, 'CV', 105, 'addr2line', 'pwd', 'V0', 'V3', 0.13979976118306237, 1.3047614097595215]
['CV', 265, 'BV', 47, 'basename', 'dot', 'V1', 'V3', 0.12581699346405228, 0.010210037231445312]
['CV', 130, 'UV', 76, 'chmod', 'as', 'V3', 'V0', 0.1224130855367298, 1.6678557395935059]
['BV', 25, 'UV', 42, 'git', 'diff', 'V3', 'V3', 0.08084443570704858, 10.640674114227295]
['CV', 291, 'UV', 18, 'pinky', 'ar', 'V1', 'V2', 0.1454898977090202, 1.04008150100708]
['CV', 134, 'UV', 20, 'od', 'size', 'V3', 'V2', 0.1342367680900025, 1.0267305374145508]
['CV', 81, 'BV', 23, 'sleep', 'diff', 'V2', 'V3', 0.13436044428520244, 0.08389520645141602]
['BV', 31, 'CV', 123, 'codeblocks', 'chroot', 'V0', 'V3', 0.18552483457346036, 9.813782453536987]
['BV', 48, 'UV', 10, 'gvmap', 'as', 'V3', 'V2', 0.09750520806869567, 2.4839529991149902]
['CV', 294, 'BV', 6, 'sync', 'libvlc.so', 'V1', 'V0', 0.20450563204005, 0.2160046100616455]
['UV', 51, 'CV', 106, 'nm', 'pr', 'V1', 'V3', 0.13031561461794017, 1.0458965301513672]
['UV', 15, 'BV', 76, 'ld', 'diff', 'V2', 'V2', 0.10837028824833705, 2.0821919441223145]
['UV', 49, 'CV', 172, 'xargs', 'mknod', 'V1', 'V3', 0.03825136612021862, 0.03066539764404297]
['UV', 80, 'CV', 1, 'objcopy', 'stat', 'V0', 'V2', 0.1340637163038778, 1.1484196186065674]
['CV', 265, 'UV', 87, 'basename', 'objdump', 'V1', 'V0', 0.13914669159377713, 1.350292682647705]
['UV', 27, 'CV', 187, 'c++filt', 'join', 'V3', 'V0', 0.14631463146314627, 0.8886923789978027]
['BV', 66, 'CV', 267, 'lua', 'fmt', 'V1', 'V1', 0.13779222789905554, 0.2991025447845459]
['CV', 283, 'UV', 38, 'kill', 'xargs', 'V1', 'V3', 0.15139442231075695, 0.05792379379272461]
['BV', 67, 'CV', 153, 'cluster', 'link', 'V0', 'V3', 0.1333333333333333, 0.09683036804199219]
['UV', 42, 'CV', 167, 'diff', 'uniq', 'V3', 'V3', 0.0984126984126984, 0.10339474678039551]
['CV', 49, 'UV', 6, 'tsort', 'sdiff', 'V2', 'V2', 0.09293443666454482, 0.0353085994720459]
['UV', 8, 'CV', 253, 'strip', 'fold', 'V2', 'V0', 0.14265313791807588, 1.1268131732940674]
['CV', 41, 'BV', 2, 'nice', 'cmp', 'V2', 'V1', 0.07430830039525693, 0.025954246520996094]
['BV', 0, 'CV', 67, 'bash', 'uname', 'V2', 'V2', 0.12933118452860592, 2.3509650230407715]
['UV', 30, 'BV', 80, 'ld', 'cluster', 'V3', 'V1', 0.10836784538600408, 2.5389997959136963]
['CV', 292, 'BV', 39, 'sha1sum', 'svn', 'V1', 'V1', 0.2199814986123959, 0.37871313095092773]
['BV', 19, 'CV', 199, 'cp', 'expand', 'V3', 'V0', 0.14609469850263057, 0.06969475746154785]
['UV', 43, 'BV', 6, 'sdiff', 'libvlc.so', 'V3', 'V0', 0.1569217540842649, 0.295851469039917]
['BV', 59, 'CV', 226, 'make', 'logname', 'V1', 'V0', 0.14639781558496112, 0.17578482627868652]
['CV', 303, 'BV', 58, 'dircolors', 'ruby', 'V1', 'V3', 0.24444444444444446, 0.007833480834960938]
['BV', 31, 'CV', 36, 'codeblocks', 'chroot', 'V0', 'V2', 0.18684682200468772, 9.854284286499023]
['CV', 212, 'UV', 63, 'split', 'elfedit', 'V0', 'V1', 0.06323777403035413, 0.024962663650512695]
['BV', 54, 'CV', 268, 'lua', 'dir', 'V3', 'V1', 0.10261080752884033, 0.5350840091705322]
['UV', 22, 'BV', 48, 'nm', 'gvmap', 'V3', 'V3', 0.09595810591532672, 1.4807837009429932]
['CV', 4, 'BV', 64, 'basename', 'openssl', 'V2', 'V2', 0.2887340036563071, 4.700451374053955]
['UV', 28, 'CV', 208, 'strings', 'echo', 'V3', 'V0', 0.15479184129645152, 0.8674819469451904]
['UV', 67, 'BV', 5, 'cmp', 'libvlccore.so', 'V0', 'V0', 0.16579075689440326, 2.923654556274414]
['CV', 81, 'BV', 79, 'sleep', 'bash', 'V2', 'V3', 0.12772358072972623, 2.5951054096221924]
['BV', 28, 'CV', 55, 'openssl', 'nohup', 'V1', 'V2', 0.10340226817878584, 6.418104648590088]
['UV', 21, 'CV', 198, 'objdump', 'factor', 'V2', 'V0', 0.14189549453479078, 1.4072344303131104]
['BV', 2, 'CV', 205, 'cmp', 'sha1sum', 'V1', 'V0', 0.07348242811501593, 0.028061389923095703]
['BV', 38, 'UV', 54, 'ruby', 'as', 'V2', 'V1', 0.1398388540734109, 1.4830024242401123]
['UV', 56, 'CV', 315, 'c++filt', 'false', 'V1', 'V1', 0.1511147811725846, 0.8484275341033936]
['CV', 304, 'UV', 81, 'chmod', 'ld', 'V1', 'V0', 0.12828842601439583, 1.5279333591461182]
['CV', 188, 'BV', 59, 'dirname', 'make', 'V0', 'V1', 0.1466331025802392, 0.18005037307739258]
['UV', 80, 'CV', 247, 'objcopy', 'shred', 'V0', 'V0', 0.1289976389783215, 1.2198171615600586]
['CV', 207, 'BV', 9, 'sync', 'dot', 'V0', 'V2', 0.1128747795414462, 0.009243011474609375]
['CV', 195, 'UV', 66, 'chgrp', 'diff3', 'V0', 'V0', 0.04967855055523085, 0.04227948188781738]
['CV', 161, 'UV', 77, 'pathchk', 'ranlib', 'V3', 'V0', 0.1420499000260802, 0.9611821174621582]
['BV', 60, 'CV', 202, 'codeblocks', 'chown', 'V1', 'V0', 0.18396024791622145, 10.288656949996948]
['CV', 124, 'UV', 54, 'seq', 'as', 'V3', 'V1', 0.12629161882893225, 1.764775037765503]
['UV', 34, 'CV', 90, 'elfedit', 'test', 'V3', 'V3', 0.04572965702757226, 0.03496050834655762]
['BV', 53, 'CV', 153, 'ssh', 'link', 'V2', 'V3', 0.11929170549860202, 3.857545852661133]
['BV', 34, 'UV', 31, 'svn', 'gprof', 'V0', 'V3', 0.07178873061893354, 2.282322645187378]
['BV', 80, 'CV', 286, 'cluster', 'expand', 'V1', 'V1', 0.14995254666244862, 0.10666704177856445]
['CV', 195, 'UV', 32, 'chgrp', 'addr2line', 'V0', 'V3', 0.14180907220184302, 0.9890561103820801]
['UV', 25, 'CV', 109, 'as', 'kill', 'V3', 'V3', 0.12996265440965238, 1.7185742855072021]
['BV', 80, 'CV', 57, 'cluster', 'who', 'V1', 'V2', 0.12320505456634123, 0.13139939308166504]
['CV', 39, 'UV', 28, 'whoami', 'strings', 'V2', 'V3', 0.15142042842695602, 0.9243862628936768]
['CV', 172, 'BV', 74, 'mknod', 'git', 'V3', 'V1', 0.09320510725706688, 4.858778476715088]
['CV', 108, 'UV', 60, 'chgrp', 'gprof', 'V3', 'V1', 0.1256057526965766, 1.1427803039550781]
['CV', 176, 'UV', 86, 'unlink', 'size', 'V0', 'V0', 0.12983086853501102, 0.8102912902832031]
['UV', 46, 'CV', 331, 'diff', 'vdir', 'V1', 'V1', 0.04723618090452264, 0.16608428955078125]
['UV', 72, 'CV', 185, 'find', 'printenv', 'V0', 'V0', 0.17129474740715955, 0.10611915588378906]
['BV', 76, 'UV', 10, 'diff', 'as', 'V2', 'V2', 0.10656557679144951, 2.3043622970581055]
['BV', 34, 'CV', 94, 'svn', 'dir', 'V0', 'V3', 0.12911392405063293, 0.5680997371673584]
['CV', 23, 'UV', 77, 'wc', 'ranlib', 'V2', 'V0', 0.13990447242726878, 0.9872958660125732]
['CV', 151, 'UV', 51, 'md5sum', 'nm', 'V3', 'V1', 0.1393252639711563, 1.0088739395141602]
['CV', 278, 'BV', 32, 'mkfifo', 'perl', 'V1', 'V0', 0.11147236414305617, 1.9633805751800537]
['CV', 292, 'BV', 75, 'sha1sum', 'cmp', 'V1', 'V2', 0.08038585209003213, 0.028898239135742188]
['UV', 56, 'BV', 55, 'c++filt', 'codeblocks', 'V1', 'V3', 0.11937151126731449, 19.24565076828003]
['CV', 52, 'BV', 34, 'logname', 'svn', 'V2', 'V0', 0.21908336625839586, 0.3173060417175293]
['CV', 208, 'UV', 77, 'echo', 'ranlib', 'V0', 'V0', 0.15057707792788766, 0.8864321708679199]
['CV', 107, 'UV', 23, 'tee', 'strip', 'V3', 'V3', 0.13701994641262283, 1.2032928466796875]
['UV', 46, 'CV', 345, 'diff', 'rmdir', 'V1', 'V1', 0.13404114134041145, 0.08007025718688965]
['BV', 35, 'CV', 143, 'libvlccore.so', 'yes', 'V2', 'V3', 0.16522698915442935, 3.315380334854126]
['UV', 87, 'CV', 77, 'objdump', 'nl', 'V0', 'V2', 0.12392329456145867, 1.4919893741607666]
['UV', 13, 'CV', 59, 'strings', 'head', 'V2', 'V2', 0.14531514665240264, 0.9192676544189453]
['UV', 81, 'CV', 34, 'ld', 'echo', 'V0', 'V2', 0.1373227934931731, 1.3454976081848145]
['CV', 8, 'BV', 43, 'du', 'lua', 'V2', 'V0', 0.09306543881679918, 0.43173837661743164]
['BV', 55, 'UV', 60, 'codeblocks', 'gprof', 'V3', 'V1', 0.11497347856014906, 18.892946004867554]
['CV', 302, 'BV', 82, 'nice', 'gvmap', 'V1', 'V1', 0.14755582377791188, 0.11036825180053711]
['UV', 65, 'CV', 301, 'objdump', 'ls', 'V1', 'V1', 0.12032362065819091, 1.8068740367889404]
['CV', 308, 'BV', 3, 'od', 'diff', 'V1', 'V1', 0.10573899371069184, 0.07417106628417969]
['UV', 15, 'CV', 70, 'ld', 'vdir', 'V2', 'V2', 0.11575987144168964, 1.94850492477417]
['CV', 131, 'BV', 49, 'true', 'make', 'V3', 'V3', 0.13644083789394224, 0.2167530059814453]
['BV', 58, 'CV', 155, 'ruby', 'cat', 'V3', 'V3', 0.22236503856041134, 0.010117292404174805]
['CV', 300, 'UV', 31, 'whoami', 'gprof', 'V1', 'V3', 0.14920634920634923, 0.9402134418487549]
['CV', 284, 'BV', 19, 'wc', 'cp', 'V1', 'V3', 0.12776699029126215, 0.08417892456054688]
['CV', 231, 'UV', 15, 'who', 'ld', 'V0', 'V2', 0.1343064801807854, 1.6097545623779297]
['BV', 6, 'CV', 279, 'libvlc.so', 'pwd', 'V0', 'V1', 0.19551438322769377, 0.2270371913909912]
['CV', 175, 'UV', 1, 'stat', 'xargs', 'V0', 'V2', 0.10517529215358934, 0.04771590232849121]
['CV', 89, 'BV', 30, 'unlink', 'bash', 'V3', 'V0', 0.129595724677124, 2.049609422683716]
['BV', 82, 'CV', 297, 'gvmap', 'chroot', 'V1', 'V1', 0.15062253264500458, 0.10605669021606445]
['BV', 31, 'CV', 119, 'codeblocks', 'paste', 'V0', 'V3', 0.18660497907027973, 9.42844820022583]
['UV', 4, 'CV', 237, 'cmp', 'mv', 'V2', 'V0', 0.07984420642648493, 0.05991768836975098]
['UV', 11, 'BV', 72, 'ranlib', 'perl', 'V2', 'V1', 0.02788209017499943, 6.401973485946655]
['UV', 46, 'CV', 78, 'diff', 'rm', 'V1', 'V2', 0.07960741548527805, 0.12628436088562012]
['CV', 298, 'BV', 35, 'seq', 'libvlccore.so', 'V1', 'V2', 0.1670293534503603, 3.3682327270507812]
['BV', 12, 'CV', 135, 'sort', 'df', 'V2', 'V3', 0.032015681149951014, 0.10974574089050293]
['CV', 86, 'BV', 7, 'ln', 'libSDL2-2.0.so', 'V2', 'V0', 0.20914811556938906, 3.1920080184936523]
['UV', 67, 'CV', 67, 'cmp', 'uname', 'V0', 'V2', 0.08373983739837398, 0.02435779571533203]
['CV', 104, 'UV', 16, 'mkfifo', 'gprof', 'V3', 'V2', 0.14179289793891237, 1.0185701847076416]
['CV', 339, 'BV', 21, 'rm', 'cp', 'V1', 'V1', 0.05067920585161967, 0.0539097785949707]
['BV', 3, 'UV', 39, 'diff', 'find', 'V1', 'V3', 0.09337040831260057, 0.4573783874511719]
['CV', 117, 'BV', 81, 'pinky', 'dot', 'V3', 'V1', 0.17704280155642027, 0.019492626190185547]
['CV', 127, 'UV', 71, 'ls', 'xargs', 'V3', 'V0', 0.1217201166180758, 0.09486675262451172]
['BV', 16, 'CV', 126, 'libvlc.so', 'whoami', 'V3', 'V3', 0.18986140117714068, 0.3320577144622803]
['CV', 177, 'UV', 78, 'test', 'c++filt', 'V0', 'V0', 0.1485648898636407, 0.8076608180999756]
['UV', 82, 'CV', 283, 'gprof', 'kill', 'V0', 'V1', 0.14349035285937772, 0.8848867416381836]
['UV', 59, 'BV', 78, 'ld', 'make', 'V1', 'V2', 0.07864336492891, 2.561436653137207]
['UV', 44, 'CV', 45, 'diff3', 'cp', 'V1', 'V2', 0.06765249537892792, 0.08844661712646484]
['UV', 59, 'CV', 106, 'ld', 'pr', 'V1', 'V3', 0.12407637287935214, 1.6759347915649414]
['UV', 76, 'CV', 29, 'as', 'tail', 'V0', 'V2', 0.12420382165605093, 1.614863395690918]
['CV', 207, 'UV', 15, 'sync', 'ld', 'V0', 'V2', 0.13929301058626886, 1.5416336059570312]
['UV', 14, 'CV', 83, 'objcopy', 'tac', 'V2', 'V2', 0.12449065617535482, 1.3073856830596924]
['UV', 17, 'CV', 182, 'addr2line', 'du', 'V2', 'V0', 0.1305353319057816, 1.0604548454284668]
['CV', 89, 'UV', 70, 'unlink', 'locate', 'V3', 'V0', 0.10931734317343178, 0.05823874473571777]
['CV', 271, 'BV', 50, 'ptx', 'sort', 'V1', 'V0', 0.03203971119133575, 0.05274558067321777]
['UV', 60, 'BV', 19, 'gprof', 'cp', 'V1', 'V3', 0.10795371319759783, 1.334446668624878]
['CV', 34, 'UV', 86, 'echo', 'size', 'V2', 'V0', 0.12743033052495134, 0.8044073581695557]
['BV', 83, 'CV', 265, 'git', 'basename', 'V2', 'V1', 0.09454840048212765, 6.449410676956177]
['CV', 139, 'BV', 60, 'logname', 'codeblocks', 'V3', 'V1', 0.18586661652923642, 10.172780275344849]
['UV', 59, 'CV', 234, 'ld', 'hostid', 'V1', 'V0', 0.1380978968918667, 1.505659818649292]
['UV', 33, 'BV', 11, 'ar', 'bash', 'V3', 'V1', 0.034783426904619996, 6.466417551040649]
['CV', 177, 'BV', 15, 'test', 'libvlccore.so', 'V0', 'V3', 0.16690730580421598, 3.399360179901123]
['CV', 189, 'UV', 71, 'uptime', 'xargs', 'V0', 'V0', 0.0602739726027397, 0.025454282760620117]
['BV', 73, 'UV', 21, 'geany', 'objdump', 'V0', 'V2', 0.10648369676669633, 27.214663982391357]
['BV', 82, 'CV', 47, 'gvmap', 'od', 'V1', 'V2', 0.11040843214756257, 0.14444375038146973]
['UV', 38, 'CV', 324, 'xargs', 'mv', 'V3', 'V1', 0.04950115118956255, 0.10956835746765137]
['CV', 192, 'BV', 29, 'pwd', 'perl', 'V0', 'V3', 0.10461549436438866, 2.5056684017181396]
['BV', 81, 'CV', 243, 'dot', 'csplit', 'V1', 'V0', 0.1563260340632604, 0.031255245208740234]
['CV', 67, 'UV', 83, 'uname', 'addr2line', 'V2', 'V0', 0.14836711711711714, 0.8194293975830078]
['UV', 75, 'CV', 149, 'readelf', 'unexpand', 'V0', 'V3', 0.08950182943990992, 0.0941474437713623]
['CV', 296, 'UV', 36, 'sum', 'objdump', 'V1', 'V3', 0.13728704408407, 1.7984943389892578]
['BV', 21, 'CV', 179, 'cp', 'mkdir', 'V1', 'V0', 0.08708708708708712, 0.04318046569824219]
['UV', 40, 'CV', 148, 'diff3', 'ginstall', 'V3', 'V3', 0.09643605870020966, 0.12826156616210938]
['CV', 260, 'BV', 75, 'ln', 'cmp', 'V0', 'V2', 0.07228915662650603, 0.03042292594909668]
['CV', 28, 'BV', 67, 'chown', 'cluster', 'V2', 'V0', 0.09711815561959658, 0.13234543800354004]
['CV', 17, 'BV', 55, 'mkfifo', 'codeblocks', 'V2', 'V3', 0.18919060052219328, 11.069252729415894]
['BV', 37, 'CV', 71, 'geany', '[', 'V1', 'V2', 0.18434792811467238, 20.372889757156372]
['UV', 22, 'CV', 308, 'nm', 'od', 'V3', 'V1', 0.14598669623059868, 0.9804315567016602]
['UV', 47, 'BV', 65, 'sdiff', 'ssh', 'V1', 'V1', 0.11334256694367495, 3.8774001598358154]
['BV', 3, 'CV', 168, 'diff', 'sleep', 'V1', 'V3', 0.11300555114988109, 0.07031536102294922]
['UV', 43, 'CV', 252, 'sdiff', 'rm', 'V3', 'V0', 0.06486181613085162, 0.046712398529052734]
['UV', 24, 'BV', 61, 'readelf', 'cmp', 'V3', 'V0', 0.12259654889071492, 0.22523903846740723]
['UV', 46, 'CV', 247, 'diff', 'shred', 'V1', 'V0', 0.0962918660287081, 0.11032629013061523]
['UV', 75, 'BV', 26, 'readelf', 'geany', 'V0', 'V2', 0.17036477172524256, 24.87877893447876]
['CV', 315, 'BV', 71, 'false', 'ruby', 'V1', 'V1', 0.22405660377358494, 0.005063295364379883]
['CV', 323, 'BV', 60, 'unexpand', 'codeblocks', 'V1', 'V1', 0.18716115981119352, 10.229675531387329]
['UV', 60, 'BV', 4, 'gprof', 'geany', 'V1', 'V3', 0.12893995357460908, 40.12053561210632]
['UV', 71, 'CV', 10, 'xargs', 'ptx', 'V0', 'V2', 0.07470511140235914, 0.05507493019104004]
['UV', 59, 'BV', 64, 'ld', 'openssl', 'V1', 'V2', 0.09046268338060814, 12.464303731918335]
['CV', 233, 'UV', 35, 'head', 'size', 'V0', 'V3', 0.14916424418604657, 0.9263865947723389]
['CV', 274, 'BV', 5, 'join', 'libvlccore.so', 'V1', 'V0', 0.16863986033062361, 2.849501371383667]
['CV', 250, 'UV', 21, 'comm', 'objdump', 'V0', 'V2', 0.14079638370005987, 1.4706575870513916]
['BV', 79, 'CV', 140, 'bash', 'tty', 'V3', 'V3', 0.12661376796054036, 2.6046645641326904]
['UV', 61, 'CV', 278, 'addr2line', 'mkfifo', 'V1', 'V1', 0.14929679047962496, 0.851492166519165]
['UV', 34, 'CV', 161, 'elfedit', 'pathchk', 'V3', 'V3', 0.059985885673959016, 0.02952098846435547]
['UV', 67, 'CV', 202, 'cmp', 'chown', 'V0', 'V0', 0.0353172007848267, 0.03690505027770996]
['BV', 50, 'CV', 98, 'sort', 'printenv', 'V0', 'V3', 0.07629979743416615, 0.03142380714416504]
['CV', 12, 'UV', 31, 'stty', 'gprof', 'V2', 'V3', 0.13934358122143742, 1.0487008094787598]
['CV', 57, 'UV', 51, 'who', 'nm', 'V2', 'V1', 0.14003266569242667, 0.9920620918273926]
['BV', 62, 'UV', 25, 'diff', 'as', 'V0', 'V3', 0.11956158896183378, 1.9988877773284912]
['BV', 21, 'CV', 85, 'cp', 'mknod', 'V1', 'V2', 0.09722222222222221, 0.039562225341796875]
['CV', 104, 'UV', 67, 'mkfifo', 'cmp', 'V3', 'V0', 0.05616338439095547, 0.029247522354125977]
['CV', 280, 'BV', 9, 'pr', 'dot', 'V1', 'V2', 0.1714855433698903, 0.019135713577270508]
['BV', 75, 'CV', 303, 'cmp', 'dircolors', 'V2', 'V1', 0.0775379696243006, 0.028107166290283203]
['CV', 335, 'UV', 4, 'pathchk', 'cmp', 'V1', 'V2', 0.10407632263660016, 0.023655414581298828]
['CV', 272, 'BV', 1, 'printenv', 'libSDL2-2.0.so', 'V1', 'V3', 0.19643184736745556, 5.197099447250366]
['CV', 60, 'UV', 22, 'hostid', 'nm', 'V2', 'V3', 0.15167326376394386, 0.9311480522155762]
['CV', 320, 'UV', 25, 'head', 'as', 'V1', 'V3', 0.13245416160564516, 1.7245688438415527]
['CV', 346, 'UV', 22, 'mknod', 'nm', 'V1', 'V3', 0.15185754316189093, 0.9373536109924316]
['CV', 279, 'BV', 28, 'pwd', 'openssl', 'V1', 'V1', 0.10382489300998576, 6.441309928894043]
['UV', 39, 'CV', 222, 'find', 'df', 'V3', 'V0', 0.1425784713601702, 0.3230264186859131]
['CV', 270, 'BV', 46, 'users', 'cluster', 'V1', 'V3', 0.1460815047021944, 0.10949516296386719]
['CV', 7, 'BV', 5, 'dir', 'libvlccore.so', 'V2', 'V0', 0.15052538951291472, 3.4993202686309814]
['UV', 4, 'BV', 38, 'cmp', 'ruby', 'V2', 'V2', 0.2517647058823529, 0.013080596923828125]
['CV', 205, 'BV', 14, 'sha1sum', 'openssl', 'V0', 'V3', 0.2901944386368388, 5.632871627807617]
['UV', 73, 'CV', 85, 'nm', 'mknod', 'V0', 'V2', 0.14627879232816365, 0.8541626930236816]
['UV', 12, 'CV', 303, 'c++filt', 'dircolors', 'V2', 'V1', 0.1488740997356186, 0.8907744884490967]
['CV', 225, 'BV', 30, 'printf', 'bash', 'V0', 'V0', 0.13024896884162396, 2.0676941871643066]
['UV', 8, 'BV', 2, 'strip', 'cmp', 'V2', 'V1', 0.13418834737999263, 1.221067190170288]
['CV', 80, 'BV', 57, 'uniq', 'svn', 'V2', 'V2', 0.20879513764747948, 0.38604044914245605]
