['UV', 83, 'CV', 105, 'addr2line', 'pwd', 'V0', 'V3', 0.8695692109855792, 0.9897873401641846]
['UV', 40, 'CV', 16, 'diff3', 'dd', 'V3', 'V2', 0.07646474677259185, 0.05445742607116699]
['BV', 32, 'UV', 43, 'perl', 'sdiff', 'V0', 'V3', 0.9168929482432321, 2.4474642276763916]
['CV', 194, 'BV', 81, 'tee', 'dot', 'V0', 'V1', 0.3641975308641976, 0.01171255111694336]
['BV', 10, 'CV', 331, 'gvmap', 'vdir', 'V2', 'V1', 0.39089629282027216, 0.2135770320892334]
['CV', 327, 'BV', 36, 'link', 'libvlc.so', 'V1', 'V2', 0.8551012306470822, 0.3883397579193115]
['CV', 4, 'BV', 28, 'basename', 'openssl', 'V2', 'V1', 0.9783030006014568, 8.376481533050537]
['BV', 10, 'CV', 259, 'gvmap', 'mknod', 'V2', 'V0', 0.7503001200480192, 0.12389135360717773]
['BV', 19, 'CV', 23, 'cp', 'wc', 'V3', 'V2', 0.5014556040756915, 0.09752488136291504]
['CV', 150, 'BV', 1, 'mv', 'libSDL2-2.0.so', 'V3', 'V3', 0.8063540090771558, 9.766526699066162]
['BV', 49, 'CV', 118, 'make', 'sha1sum', 'V3', 'V3', 0.7297198981447799, 0.2675600051879883]
['BV', 7, 'CV', 213, 'libSDL2-2.0.so', 'whoami', 'V0', 'V0', 0.9493653131355635, 3.4981937408447266]
['BV', 13, 'CV', 291, 'cp', 'pinky', 'V2', 'V1', 0.5030674846625767, 0.0764613151550293]
['BV', 3, 'CV', 127, 'diff', 'ls', 'V1', 'V3', 0.09500247402276096, 0.19630932807922363]
['CV', 75, 'BV', 50, 'tr', 'sort', 'V2', 'V0', 0.17772215269086356, 0.03688979148864746]
['BV', 52, 'CV', 233, 'libSDL2-2.0.so', 'head', 'V2', 'V0', 0.9443030082610276, 4.807076930999756]
['CV', 62, 'UV', 72, 'unexpand', 'find', 'V2', 'V0', 0.6747557516545856, 0.1426711082458496]
['UV', 68, 'CV', 158, 'diff', '[', 'V0', 'V3', 0.4177777777777778, 0.0843038558959961]
['CV', 245, 'BV', 7, '[', 'libSDL2-2.0.so', 'V0', 'V0', 0.9324249165739711, 3.9208600521087646]
['CV', 65, 'BV', 80, 'env', 'cluster', 'V2', 'V1', 0.7141965678627145, 0.13306665420532227]
['CV', 321, 'UV', 14, 'hostid', 'objcopy', 'V1', 'V2', 0.9456767768220914, 1.463169813156128]
['CV', 22, 'UV', 70, 'kill', 'locate', 'V2', 'V0', 0.493862134088763, 0.06804013252258301]
['UV', 32, 'CV', 7, 'addr2line', 'dir', 'V3', 'V2', 0.7358114835711915, 1.4372873306274414]
['BV', 83, 'CV', 250, 'git', 'comm', 'V2', 'V0', 0.9820431359393808, 7.69541335105896]
['CV', 167, 'UV', 3, 'uniq', 'diff3', 'V3', 'V2', 0.10191082802547768, 0.04707670211791992]
['CV', 8, 'UV', 57, 'du', 'strings', 'V2', 'V1', 0.7335066623334416, 1.6017301082611084]
['BV', 8, 'CV', 272, 'cluster', 'printenv', 'V2', 'V1', 0.7748301520543514, 0.11346077919006348]
['CV', 213, 'BV', 17, 'whoami', 'codeblocks', 'V0', 'V2', 0.9807261078483716, 13.430358648300171]
['CV', 158, 'BV', 8, '[', 'cluster', 'V3', 'V2', 0.5583238958097395, 0.15477705001831055]
['CV', 133, 'BV', 38, 'cut', 'ruby', 'V3', 'V2', 0.784037558685446, 0.013581514358520508]
['CV', 206, 'BV', 5, 'paste', 'libvlccore.so', 'V0', 'V0', 0.9567884179698293, 3.480517864227295]
['CV', 265, 'BV', 47, 'basename', 'dot', 'V1', 'V3', 0.32352941176470584, 0.011074066162109375]
['CV', 130, 'UV', 76, 'chmod', 'as', 'V3', 'V0', 0.87031717183561, 2.293252468109131]
['BV', 25, 'UV', 42, 'git', 'diff', 'V3', 'V3', 0.9316769247054909, 12.436420202255249]
['CV', 291, 'UV', 18, 'pinky', 'ar', 'V1', 'V2', 0.9041339081917322, 1.3731391429901123]
['CV', 134, 'UV', 20, 'od', 'size', 'V3', 'V2', 0.8147106451887838, 1.3990674018859863]
['CV', 81, 'BV', 23, 'sleep', 'diff', 'V2', 'V3', 0.618774632748119, 0.10069465637207031]
['BV', 31, 'CV', 123, 'codeblocks', 'chroot', 'V0', 'V3', 0.9573323082836825, 11.871705055236816]
['BV', 48, 'UV', 10, 'gvmap', 'as', 'V3', 'V2', 0.7035719729688532, 3.7482919692993164]
['CV', 294, 'BV', 6, 'sync', 'libvlc.so', 'V1', 'V0', 0.823279098873592, 0.271160364151001]
['UV', 51, 'CV', 106, 'nm', 'pr', 'V1', 'V3', 0.8094684385382059, 1.2254188060760498]
['UV', 15, 'BV', 76, 'ld', 'diff', 'V2', 'V2', 0.7528824833702883, 2.3574020862579346]
['UV', 49, 'CV', 172, 'xargs', 'mknod', 'V1', 'V3', 0.12158469945355188, 0.03203582763671875]
['UV', 80, 'CV', 1, 'objcopy', 'stat', 'V0', 'V2', 0.9123540435346692, 1.3679766654968262]
['CV', 265, 'UV', 87, 'basename', 'objdump', 'V1', 'V0', 0.9483207584963611, 1.7648694515228271]
['UV', 27, 'CV', 187, 'c++filt', 'join', 'V3', 'V0', 0.8881554822148882, 1.0608398914337158]
['BV', 66, 'CV', 267, 'lua', 'fmt', 'V1', 'V1', 0.8615884811890385, 0.3434176445007324]
['CV', 283, 'UV', 38, 'kill', 'xargs', 'V1', 'V3', 0.5014228799089356, 0.06472897529602051]
['BV', 67, 'CV', 153, 'cluster', 'link', 'V0', 'V3', 0.6132013201320132, 0.10877513885498047]
['UV', 42, 'CV', 167, 'diff', 'uniq', 'V3', 'V3', 0.4355555555555555, 0.11079668998718262]
['CV', 49, 'UV', 6, 'tsort', 'sdiff', 'V2', 'V2', 0.30872056015276894, 0.03826785087585449]
['UV', 8, 'CV', 253, 'strip', 'fold', 'V2', 'V0', 0.9382187147688839, 1.3492679595947266]
['CV', 41, 'BV', 2, 'nice', 'cmp', 'V2', 'V1', 0.2047430830039526, 0.027295589447021484]
['BV', 0, 'CV', 67, 'bash', 'uname', 'V2', 'V2', 0.9571134389828991, 2.7851150035858154]
['UV', 30, 'BV', 80, 'ld', 'cluster', 'V3', 'V1', 0.7089306573218647, 2.8491573333740234]
['CV', 292, 'BV', 39, 'sha1sum', 'svn', 'V1', 'V1', 0.8209065679925994, 0.5006496906280518]
['BV', 19, 'CV', 199, 'cp', 'expand', 'V3', 'V0', 0.669769324160259, 0.07833051681518555]
['UV', 43, 'BV', 6, 'sdiff', 'libvlc.so', 'V3', 'V0', 0.5932932072227, 0.37741756439208984]
['BV', 59, 'CV', 226, 'make', 'logname', 'V1', 'V0', 0.8517118252467969, 0.1985926628112793]
['CV', 303, 'BV', 58, 'dircolors', 'ruby', 'V1', 'V3', 0.6854700854700855, 0.008649349212646484]
['BV', 31, 'CV', 36, 'codeblocks', 'chroot', 'V0', 'V2', 0.9657521025782435, 11.617155075073242]
['CV', 212, 'UV', 63, 'split', 'elfedit', 'V0', 'V1', 0.16188870151770662, 0.027368545532226562]
['BV', 54, 'CV', 268, 'lua', 'dir', 'V3', 'V1', 0.6789313904068003, 0.5976574420928955]
['UV', 22, 'BV', 48, 'nm', 'gvmap', 'V3', 'V3', 0.5699955745685205, 1.648787498474121]
['CV', 4, 'BV', 64, 'basename', 'openssl', 'V2', 'V2', 0.9443555758683729, 6.268826723098755]
['UV', 28, 'CV', 208, 'strings', 'echo', 'V3', 'V0', 0.935363695631927, 1.0429105758666992]
['UV', 67, 'BV', 5, 'cmp', 'libvlccore.so', 'V0', 'V0', 0.9186216611583681, 4.059556245803833]
['CV', 81, 'BV', 79, 'sleep', 'bash', 'V2', 'V3', 0.9542739266835704, 3.4595773220062256]
['BV', 28, 'CV', 55, 'openssl', 'nohup', 'V1', 'V2', 0.9748276628863687, 7.711105585098267]
['UV', 21, 'CV', 198, 'objdump', 'factor', 'V2', 'V0', 0.9445481205011996, 1.6830692291259766]
['BV', 2, 'CV', 205, 'cmp', 'sha1sum', 'V1', 'V0', 0.20607028753993606, 0.03002786636352539]
['BV', 38, 'UV', 54, 'ruby', 'as', 'V2', 'V1', 0.989018203521337, 1.8548648357391357]
['UV', 56, 'CV', 315, 'c++filt', 'false', 'V1', 'V1', 0.9390769795394073, 1.0139274597167969]
['CV', 304, 'UV', 81, 'chmod', 'ld', 'V1', 'V0', 0.8922224345499713, 2.117434024810791]
['CV', 188, 'BV', 59, 'dirname', 'make', 'V0', 'V1', 0.8493811621564925, 0.2233588695526123]
['UV', 80, 'CV', 247, 'objcopy', 'shred', 'V0', 'V0', 0.8982614294913072, 1.4432411193847656]
['CV', 207, 'BV', 9, 'sync', 'dot', 'V0', 'V2', 0.28747795414462085, 0.009726762771606445]
['CV', 195, 'UV', 66, 'chgrp', 'diff3', 'V0', 'V0', 0.14903565166569255, 0.045412302017211914]
['CV', 161, 'UV', 77, 'pathchk', 'ranlib', 'V3', 'V0', 0.8829870468573415, 1.2512164115905762]
['BV', 60, 'CV', 202, 'codeblocks', 'chown', 'V1', 'V0', 0.9584312887369096, 12.270357131958008]
['CV', 124, 'UV', 54, 'seq', 'as', 'V3', 'V1', 0.9130884041331803, 2.2783448696136475]
['UV', 34, 'CV', 90, 'elfedit', 'test', 'V3', 'V3', 0.17283120376597172, 0.038422584533691406]
['BV', 53, 'CV', 153, 'ssh', 'link', 'V2', 'V3', 0.9604579949407536, 4.471101999282837]
['BV', 34, 'UV', 31, 'svn', 'gprof', 'V0', 'V3', 0.4237993192991303, 3.1470868587493896]
['BV', 80, 'CV', 286, 'cluster', 'expand', 'V1', 'V1', 0.7355267320468206, 0.12192034721374512]
['CV', 195, 'UV', 32, 'chgrp', 'addr2line', 'V0', 'V3', 0.8679430974322269, 1.299074411392212]
['UV', 25, 'CV', 109, 'as', 'kill', 'V3', 'V3', 0.9238149956908934, 2.061103105545044]
['BV', 80, 'CV', 57, 'cluster', 'who', 'V1', 'V2', 0.5784032165422172, 0.15497994422912598]
['CV', 39, 'UV', 28, 'whoami', 'strings', 'V2', 'V3', 0.9104532499770157, 1.181004285812378]
['CV', 172, 'BV', 74, 'mknod', 'git', 'V3', 'V1', 0.9682547092738265, 6.355276584625244]
['CV', 108, 'UV', 60, 'chgrp', 'gprof', 'V3', 'V1', 0.8119430983273409, 1.5249457359313965]
['CV', 176, 'UV', 86, 'unlink', 'size', 'V0', 'V0', 0.9429691968298064, 1.0537970066070557]
['UV', 46, 'CV', 331, 'diff', 'vdir', 'V1', 'V1', 0.3407035175879397, 0.17877769470214844]
['UV', 72, 'CV', 185, 'find', 'printenv', 'V0', 'V0', 0.7745065239210438, 0.12170720100402832]
['BV', 76, 'UV', 10, 'diff', 'as', 'V2', 'V2', 0.7652819459800979, 3.2965753078460693]
['BV', 34, 'CV', 94, 'svn', 'dir', 'V0', 'V3', 0.37751303052866714, 0.6341831684112549]
['CV', 23, 'UV', 77, 'wc', 'ranlib', 'V2', 'V0', 0.8810247503256622, 1.3088243007659912]
['CV', 151, 'UV', 51, 'md5sum', 'nm', 'V3', 'V1', 0.8702034509399948, 1.3319380283355713]
['CV', 278, 'BV', 32, 'mkfifo', 'perl', 'V1', 'V0', 0.967318329603513, 2.556800127029419]
['CV', 292, 'BV', 75, 'sha1sum', 'cmp', 'V1', 'V2', 0.22347266881028938, 0.030597925186157227]
['UV', 56, 'BV', 55, 'c++filt', 'codeblocks', 'V1', 'V3', 0.5654744676452347, 45.43170666694641]
['CV', 52, 'BV', 34, 'logname', 'svn', 'V2', 'V0', 0.8123271434215725, 0.40852999687194824]
['CV', 208, 'UV', 77, 'echo', 'ranlib', 'V0', 'V0', 0.9379082043482151, 1.156172513961792]
['CV', 107, 'UV', 23, 'tee', 'strip', 'V3', 'V3', 0.888508484668056, 1.6139659881591797]
['UV', 46, 'CV', 345, 'diff', 'rmdir', 'V1', 'V1', 0.7471798274717982, 0.09120893478393555]
['BV', 35, 'CV', 143, 'libvlccore.so', 'yes', 'V2', 'V3', 0.9438525770227469, 3.964452028274536]
['UV', 87, 'CV', 77, 'objdump', 'nl', 'V0', 'V2', 0.8346431939641622, 1.7825641632080078]
['UV', 13, 'CV', 59, 'strings', 'head', 'V2', 'V2', 0.8832129802977623, 1.108269453048706]
['UV', 81, 'CV', 34, 'ld', 'echo', 'V0', 'V2', 0.9406807343045666, 1.6244392395019531]
['CV', 8, 'BV', 43, 'du', 'lua', 'V2', 'V0', 0.5459746058322869, 0.5346524715423584]
['BV', 55, 'UV', 60, 'codeblocks', 'gprof', 'V3', 'V1', 0.533991982831923, 22.053247690200806]
['CV', 302, 'BV', 82, 'nice', 'gvmap', 'V1', 'V1', 0.75980687990344, 0.13693523406982422]
['UV', 65, 'CV', 301, 'objdump', 'ls', 'V1', 'V1', 0.8368513899872255, 2.083881139755249]
['CV', 308, 'BV', 3, 'od', 'diff', 'V1', 'V1', 0.5015723270440252, 0.08643436431884766]
['UV', 15, 'CV', 70, 'ld', 'vdir', 'V2', 'V2', 0.8148530762167125, 2.239137887954712]
['CV', 131, 'BV', 49, 'true', 'make', 'V3', 'V3', 0.794300811473863, 0.28470945358276367]
['BV', 58, 'CV', 155, 'ruby', 'cat', 'V3', 'V3', 0.7634961439588689, 0.011744976043701172]
['CV', 300, 'UV', 31, 'whoami', 'gprof', 'V1', 'V3', 0.9361647361647362, 1.241025686264038]
['CV', 284, 'BV', 19, 'wc', 'cp', 'V1', 'V3', 0.6023300970873786, 0.09732675552368164]
['CV', 231, 'UV', 15, 'who', 'ld', 'V0', 'V2', 0.9313503939412447, 2.151560068130493]
['BV', 6, 'CV', 279, 'libvlc.so', 'pwd', 'V0', 'V1', 0.7771818625060946, 0.2596242427825928]
['CV', 175, 'UV', 1, 'stat', 'xargs', 'V0', 'V2', 0.4201446855870896, 0.05286216735839844]
['CV', 89, 'BV', 30, 'unlink', 'bash', 'V3', 'V0', 0.9414122420703647, 2.726125717163086]
['BV', 82, 'CV', 297, 'gvmap', 'chroot', 'V1', 'V1', 0.7710294564227148, 0.12341427803039551]
['BV', 31, 'CV', 119, 'codeblocks', 'paste', 'V0', 'V3', 0.9632077550121172, 11.564348936080933]
['UV', 4, 'CV', 237, 'cmp', 'mv', 'V2', 'V0', 0.2629016553067186, 0.06600260734558105]
['UV', 11, 'BV', 72, 'ranlib', 'perl', 'V2', 'V1', 0.4471688388189382, 9.119737386703491]
['UV', 46, 'CV', 78, 'diff', 'rm', 'V1', 'V2', 0.4411123227917121, 0.13666772842407227]
['CV', 298, 'BV', 35, 'seq', 'libvlccore.so', 'V1', 'V2', 0.9586053484211036, 4.439592599868774]
['BV', 12, 'CV', 135, 'sort', 'df', 'V2', 'V3', 0.07219862789937925, 0.1155095100402832]
['CV', 86, 'BV', 7, 'ln', 'libSDL2-2.0.so', 'V2', 'V0', 0.8807767778604777, 4.2883687019348145]
['UV', 67, 'CV', 67, 'cmp', 'uname', 'V0', 'V2', 0.23739837398373986, 0.026292085647583008]
['CV', 104, 'UV', 16, 'mkfifo', 'gprof', 'V3', 'V2', 0.8973594901084347, 1.3604910373687744]
['CV', 339, 'BV', 21, 'rm', 'cp', 'V1', 'V1', 0.17554858934169282, 0.058245182037353516]
['BV', 3, 'UV', 39, 'diff', 'find', 'V1', 'V3', 0.4470949802429387, 0.6040878295898438]
['CV', 117, 'BV', 81, 'pinky', 'dot', 'V3', 'V1', 0.5719844357976653, 0.02174544334411621]
['CV', 127, 'UV', 71, 'ls', 'xargs', 'V3', 'V0', 0.5539358600583091, 0.10604596138000488]
['BV', 16, 'CV', 126, 'libvlc.so', 'whoami', 'V3', 'V3', 0.7797607746345168, 0.39223217964172363]
['CV', 177, 'UV', 78, 'test', 'c++filt', 'V0', 'V0', 0.9143701725946409, 1.0605359077453613]
['UV', 82, 'CV', 283, 'gprof', 'kill', 'V0', 'V1', 0.9233443420823918, 1.0705006122589111]
['UV', 59, 'BV', 78, 'ld', 'make', 'V1', 'V2', 0.5584518167456556, 2.8652503490448]
['UV', 44, 'CV', 45, 'diff3', 'cp', 'V1', 'V2', 0.27024029574861363, 0.09786295890808105]
['UV', 59, 'CV', 106, 'ld', 'pr', 'V1', 'V3', 0.8643967606549625, 1.9964077472686768]
['UV', 76, 'CV', 29, 'as', 'tail', 'V0', 'V2', 0.8814578910120311, 1.9101626873016357]
['CV', 207, 'UV', 15, 'sync', 'ld', 'V0', 'V2', 0.9576549247817743, 2.020730972290039]
['UV', 14, 'CV', 83, 'objcopy', 'tac', 'V2', 'V2', 0.811718420682872, 1.5570080280303955]
['UV', 17, 'CV', 182, 'addr2line', 'du', 'V2', 'V0', 0.8184154175588865, 1.25588059425354]
['CV', 89, 'UV', 70, 'unlink', 'locate', 'V3', 'V0', 0.466789667896679, 0.06827783584594727]
['CV', 271, 'BV', 50, 'ptx', 'sort', 'V1', 'V0', 0.1922382671480145, 0.05716896057128906]
['UV', 60, 'BV', 19, 'gprof', 'cp', 'V1', 'V3', 0.7019188516185733, 1.5381877422332764]
['CV', 34, 'UV', 86, 'echo', 'size', 'V2', 'V0', 0.9264419961114712, 1.0694568157196045]
['BV', 83, 'CV', 265, 'git', 'basename', 'V2', 'V1', 0.9847062775395681, 7.710755825042725]
['CV', 139, 'BV', 60, 'logname', 'codeblocks', 'V3', 'V1', 0.9690043243533615, 13.600316762924194]
['UV', 59, 'CV', 234, 'ld', 'hostid', 'V1', 'V0', 0.9566970655747875, 1.829902172088623]
['UV', 33, 'BV', 11, 'ar', 'bash', 'V3', 'V1', 0.3126744660163724, 8.754339933395386]
['CV', 177, 'BV', 15, 'test', 'libvlccore.so', 'V0', 'V3', 0.9567812108961401, 4.396719932556152]
['CV', 189, 'UV', 71, 'uptime', 'xargs', 'V0', 'V0', 0.12694063926940635, 0.02584218978881836]
['BV', 73, 'UV', 21, 'geany', 'objdump', 'V0', 'V2', 0.5019481851117643, 31.51578378677368]
['BV', 82, 'CV', 47, 'gvmap', 'od', 'V1', 'V2', 0.541501976284585, 0.15682601928710938]
['UV', 38, 'CV', 324, 'xargs', 'mv', 'V3', 'V1', 0.1327705295471988, 0.12089204788208008]
['CV', 192, 'BV', 29, 'pwd', 'perl', 'V0', 'V3', 0.96796975317449, 3.150325059890747]
['BV', 81, 'CV', 243, 'dot', 'csplit', 'V1', 'V0', 0.7262773722627737, 0.03458738327026367]
['CV', 67, 'UV', 83, 'uname', 'addr2line', 'V2', 'V0', 0.9100975975975976, 1.0667028427124023]
['UV', 75, 'CV', 149, 'readelf', 'unexpand', 'V0', 'V3', 0.6020264565156206, 0.10332512855529785]
['CV', 296, 'UV', 36, 'sum', 'objdump', 'V1', 'V3', 0.9416895966278321, 2.3578741550445557]
['BV', 21, 'CV', 179, 'cp', 'mkdir', 'V1', 'V0', 0.35015015015015016, 0.04611515998840332]
['UV', 40, 'CV', 148, 'diff3', 'ginstall', 'V3', 'V3', 0.3788559448936808, 0.1448044776916504]
['CV', 260, 'BV', 75, 'ln', 'cmp', 'V0', 'V2', 0.15210843373493976, 0.0320744514465332]
['CV', 28, 'BV', 67, 'chown', 'cluster', 'V2', 'V0', 0.41037463976945243, 0.1507091522216797]
['CV', 17, 'BV', 55, 'mkfifo', 'codeblocks', 'V2', 'V3', 0.974046997389034, 14.804212808609009]
['BV', 37, 'CV', 71, 'geany', '[', 'V1', 'V2', 0.975907855368911, 24.022202014923096]
['UV', 22, 'CV', 308, 'nm', 'od', 'V3', 'V1', 0.8875388026607539, 1.1456184387207031]
['UV', 47, 'BV', 65, 'sdiff', 'ssh', 'V1', 'V1', 0.933452051180583, 5.314082145690918]
['BV', 3, 'CV', 168, 'diff', 'sleep', 'V1', 'V3', 0.5162569389373514, 0.07717132568359375]
['UV', 43, 'CV', 252, 'sdiff', 'rm', 'V3', 'V0', 0.1551043429216018, 0.04956531524658203]
['UV', 24, 'BV', 61, 'readelf', 'cmp', 'V3', 'V0', 0.8836483155299918, 0.25934290885925293]
['UV', 46, 'CV', 247, 'diff', 'shred', 'V1', 'V0', 0.5759569377990431, 0.11936426162719727]
['UV', 75, 'BV', 26, 'readelf', 'geany', 'V0', 'V2', 0.8980366751246198, 39.387617111206055]
['CV', 315, 'BV', 71, 'false', 'ruby', 'V1', 'V1', 0.5660377358490566, 0.005404233932495117]
['CV', 323, 'BV', 60, 'unexpand', 'codeblocks', 'V1', 'V1', 0.9772892784895482, 13.40952467918396]
['UV', 60, 'BV', 4, 'gprof', 'geany', 'V1', 'V3', 0.6621457874067478, 119.02857875823975]
['UV', 71, 'CV', 10, 'xargs', 'ptx', 'V0', 'V2', 0.4652686762778506, 0.061609745025634766]
['UV', 59, 'BV', 64, 'ld', 'openssl', 'V1', 'V2', 0.346692286576997, 16.161487817764282]
['CV', 233, 'UV', 35, 'head', 'size', 'V0', 'V3', 0.9026162790697675, 1.201218843460083]
['CV', 274, 'BV', 5, 'join', 'libvlccore.so', 'V1', 'V0', 0.9320202957062579, 3.814431667327881]
['CV', 250, 'UV', 21, 'comm', 'objdump', 'V0', 'V2', 0.9395067473243369, 1.8778769969940186]
['BV', 79, 'CV', 140, 'bash', 'tty', 'V3', 'V3', 0.9504181857173494, 3.0541653633117676]
['UV', 61, 'CV', 278, 'addr2line', 'mkfifo', 'V1', 'V1', 0.930219978362784, 1.0334432125091553]
['UV', 34, 'CV', 161, 'elfedit', 'pathchk', 'V3', 'V3', 0.19266055045871555, 0.03233838081359863]
['UV', 67, 'CV', 202, 'cmp', 'chown', 'V0', 'V0', 0.05035971223021585, 0.03933072090148926]
['BV', 50, 'CV', 98, 'sort', 'printenv', 'V0', 'V3', 0.27076299797434167, 0.034064531326293945]
['CV', 12, 'UV', 31, 'stty', 'gprof', 'V2', 'V3', 0.8750311591192356, 1.3973166942596436]
['CV', 57, 'UV', 51, 'who', 'nm', 'V2', 'V1', 0.872775724232786, 1.3229541778564453]
['BV', 62, 'UV', 25, 'diff', 'as', 'V0', 'V3', 0.8629130966952264, 2.6696486473083496]
['BV', 21, 'CV', 85, 'cp', 'mknod', 'V1', 'V2', 0.3659420289855073, 0.04233431816101074]
['CV', 104, 'UV', 67, 'mkfifo', 'cmp', 'V3', 'V0', 0.16557257476294673, 0.03063178062438965]
['CV', 280, 'BV', 9, 'pr', 'dot', 'V1', 'V2', 0.5573280159521435, 0.02082371711730957]
['BV', 75, 'CV', 303, 'cmp', 'dircolors', 'V2', 'V1', 0.2150279776179057, 0.029743432998657227]
['CV', 335, 'UV', 4, 'pathchk', 'cmp', 'V1', 'V2', 0.32350390286209885, 0.025618791580200195]
['CV', 272, 'BV', 1, 'printenv', 'libSDL2-2.0.so', 'V1', 'V3', 0.9679875252247294, 6.573941946029663]
['CV', 60, 'UV', 22, 'hostid', 'nm', 'V2', 'V3', 0.91453760345448, 1.205671787261963]
['CV', 320, 'UV', 25, 'head', 'as', 'V1', 'V3', 0.936722771704552, 2.2113053798675537]
['CV', 346, 'UV', 22, 'mknod', 'nm', 'V1', 'V3', 0.9237096628400976, 1.2040905952453613]
['CV', 279, 'BV', 28, 'pwd', 'openssl', 'V1', 'V1', 0.979493580599144, 8.679425477981567]
['UV', 39, 'CV', 222, 'find', 'df', 'V3', 'V0', 0.7460542649405923, 0.3656730651855469]
['CV', 270, 'BV', 46, 'users', 'cluster', 'V1', 'V3', 0.7197492163009405, 0.13610601425170898]
['CV', 7, 'BV', 5, 'dir', 'libvlccore.so', 'V2', 'V0', 0.8331176561933847, 5.039112567901611]
['UV', 4, 'BV', 38, 'cmp', 'ruby', 'V2', 'V2', 0.7835294117647059, 0.014900684356689453]
['CV', 205, 'BV', 14, 'sha1sum', 'openssl', 'V0', 'V3', 0.9476270123353544, 7.676091432571411]
['UV', 73, 'CV', 85, 'nm', 'mknod', 'V0', 'V2', 0.9023584472790677, 1.0101547241210938]
['UV', 12, 'CV', 303, 'c++filt', 'dircolors', 'V2', 'V1', 0.9101103108761054, 1.076578140258789]
['CV', 225, 'BV', 30, 'printf', 'bash', 'V0', 'V0', 0.9497092878795408, 2.803166627883911]
['UV', 8, 'BV', 2, 'strip', 'cmp', 'V2', 'V1', 0.8899230487358006, 1.4568533897399902]
['CV', 80, 'BV', 57, 'uniq', 'svn', 'V2', 'V2', 0.7608151590990346, 0.785578727722168]
['CV', 235, 'UV', 47, 'ginstall', 'sdiff', 'V0', 'V1', 0.1178057553956835, 0.07481646537780762]
