['CV', 182, 'UV', 39, 'du', 'find', 'V0', 'V3', 0.9728395061728395, 1.6814804077148438]
['UV', 13, 'CV', 116, 'strings', 'tail', 'V2', 'V3', 0.9939148073022313, 1.7217676639556885]
['BV', 16, 'UV', 55, 'libvlc.so', 'ranlib', 'V3', 'V1', 0.9637235796732124, 7.654771327972412]
['UV', 45, 'CV', 182, 'cmp', 'du', 'V1', 'V0', 0.8787878787878788, 0.10901188850402832]
['BV', 24, 'CV', 212, 'git', 'split', 'V0', 'V0', 0.9992773696254366, 2.679786443710327]
['UV', 86, 'CV', 307, 'size', 'cut', 'V0', 'V1', 0.9973787680209698, 0.9653677940368652]
['UV', 44, 'BV', 49, 'diff3', 'make', 'V1', 'V3', 0.9491030454735085, 0.7363443374633789]
['CV', 27, 'UV', 36, 'expr', 'objdump', 'V2', 'V3', 0.9653510485866875, 3.401153326034546]
['BV', 57, 'CV', 142, 'svn', 'nohup', 'V2', 'V3', 0.9927960378208014, 0.5637576580047607]
['CV', 227, 'UV', 4, 'tty', 'cmp', 'V0', 'V2', 0.8454106280193237, 0.04087471961975098]
['CV', 43, 'BV', 15, 'chmod', 'libvlccore.so', 'V2', 'V3', 0.991425025386438, 3.3055877685546875]
['UV', 34, 'CV', 77, 'elfedit', 'nl', 'V3', 'V2', 0.9757869249394673, 0.1751394271850586]
['UV', 32, 'CV', 185, 'addr2line', 'printenv', 'V3', 'V0', 0.9973368841544608, 0.4924600124359131]
['BV', 35, 'CV', 175, 'libvlccore.so', 'stat', 'V2', 'V0', 0.9995375187882992, 1.6289951801300049]
['CV', 188, 'BV', 42, 'dirname', 'libvlc.so', 'V0', 'V1', 0.9864636209813875, 0.3251354694366455]
['CV', 0, 'UV', 20, 'touch', 'size', 'V2', 'V2', 0.9726661059714046, 1.1756885051727295]
['CV', 97, 'BV', 46, 'ptx', 'cluster', 'V3', 'V3', 0.9572327044025157, 0.4776287078857422]
['CV', 253, 'BV', 74, 'fold', 'git', 'V0', 'V1', 0.9940816114629841, 2.231111526489258]
['UV', 57, 'CV', 263, 'strings', 'unlink', 'V1', 'V1', 0.9978434332542592, 0.5300142765045166]
['CV', 29, 'UV', 75, 'tail', 'readelf', 'V2', 'V0', 0.9540942928039702, 0.4247119426727295]
['UV', 70, 'CV', 281, 'locate', 'tee', 'V0', 'V1', 0.9771573604060914, 0.0857079029083252]
['CV', 107, 'BV', 53, 'tee', 'ssh', 'V3', 'V2', 0.9822061373746512, 3.4410831928253174]
['CV', 229, 'UV', 20, 'nohup', 'size', 'V0', 'V2', 0.9767191205001078, 0.7324473857879639]
['BV', 17, 'CV', 40, 'codeblocks', 'ls', 'V2', 'V2', 0.9972876340771791, 8.500931024551392]
['CV', 25, 'UV', 65, 'expand', 'objdump', 'V2', 'V1', 0.9841031793641272, 1.2416729927062988]
['CV', 29, 'UV', 24, 'tail', 'readelf', 'V2', 'V3', 0.968673860076575, 0.8107192516326904]
['BV', 51, 'CV', 240, 'cp', 'link', 'V0', 'V0', 0.9752212389380531, 0.05076336860656738]
['UV', 55, 'CV', 197, 'ranlib', 'wc', 'V1', 'V0', 0.9979871175523349, 0.6919410228729248]
['BV', 51, 'CV', 226, 'cp', 'logname', 'V0', 'V0', 0.9716312056737588, 0.04998588562011719]
['CV', 312, 'UV', 10, 'printf', 'as', 'V1', 'V2', 0.98355351846859, 1.2792928218841553]
['UV', 38, 'CV', 252, 'xargs', 'rm', 'V3', 'V0', 0.974587039390089, 0.1643514633178711]
['UV', 74, 'CV', 134, 'strip', 'od', 'V0', 'V3', 0.9921683798335781, 1.8815851211547852]
['BV', 74, 'CV', 226, 'git', 'logname', 'V1', 'V0', 0.9995841995841996, 1.8949806690216064]
['CV', 77, 'BV', 16, 'nl', 'libvlc.so', 'V2', 'V3', 0.9809049398090494, 0.966414213180542]
['UV', 83, 'CV', 310, 'addr2line', 'tsort', 'V0', 'V1', 0.9973076060130133, 0.5933892726898193]
['BV', 10, 'UV', 27, 'gvmap', 'c++filt', 'V2', 'V3', 0.9341414872444365, 4.105152130126953]
['CV', 270, 'BV', 30, 'users', 'bash', 'V1', 'V0', 0.9871175523349437, 1.2728288173675537]
['BV', 3, 'CV', 229, 'diff', 'nohup', 'V1', 'V0', 0.9871931696905016, 0.1049191951751709]
['UV', 84, 'BV', 36, 'ar', 'libvlc.so', 'V0', 'V2', 0.9841737781225757, 6.359865665435791]
['BV', 14, 'CV', 257, 'openssl', 'tac', 'V3', 'V0', 0.9971219256933542, 3.3878495693206787]
['BV', 81, 'UV', 40, 'dot', 'diff3', 'V1', 'V3', 0.987603305785124, 0.05026388168334961]
['CV', 255, 'UV', 41, 'sleep', 'cmp', 'V0', 'V3', 0.8594847775175645, 0.08104896545410156]
['BV', 33, 'CV', 157, 'openssl', 'vdir', 'V0', 'V3', 0.9967433340118054, 11.461323022842407]
['UV', 28, 'CV', 316, 'strings', 'nohup', 'V3', 'V1', 0.9969115376130597, 0.6891090869903564]
['UV', 8, 'BV', 73, 'strip', 'geany', 'V2', 'V0', 0.9731903485254692, 87.3075807094574]
['UV', 62, 'CV', 77, 'ar', 'nl', 'V1', 'V2', 0.993642483171279, 1.9598047733306885]
['CV', 297, 'BV', 50, 'chroot', 'sort', 'V1', 'V0', 0.8551307847082494, 0.04883623123168945]
['CV', 243, 'BV', 0, 'csplit', 'bash', 'V0', 'V2', 0.9719312117019174, 4.031561613082886]
['UV', 72, 'CV', 303, 'find', 'dircolors', 'V0', 'V1', 0.9935948759007206, 0.15978240966796875]
['UV', 7, 'BV', 1, 'nm', 'libSDL2-2.0.so', 'V2', 'V3', 0.9786055686215006, 31.941031455993652]
['BV', 16, 'CV', 98, 'libvlc.so', 'printenv', 'V3', 'V3', 0.9942335415665545, 0.38668346405029297]
['UV', 14, 'CV', 239, 'objcopy', 'env', 'V2', 'V0', 0.998220640569395, 0.6536092758178711]
['BV', 60, 'CV', 203, 'codeblocks', 'tail', 'V1', 'V0', 0.9991077119184194, 3.803439140319824]
['CV', 108, 'BV', 22, 'chgrp', 'cmp', 'V3', 'V3', 0.9402597402597402, 0.1214146614074707]
['CV', 187, 'BV', 48, 'join', 'gvmap', 'V0', 'V3', 0.9596100278551531, 0.27277493476867676]
['BV', 57, 'UV', 53, 'svn', 'readelf', 'V2', 'V1', 0.9654427645788337, 1.9423184394836426]
['CV', 238, 'BV', 74, 'md5sum', 'git', 'V0', 'V1', 0.9927446102819237, 2.596254825592041]
['BV', 2, 'UV', 10, 'cmp', 'as', 'V1', 'V2', 0.9789781798829165, 1.7883601188659668]
['CV', 93, 'BV', 8, 'fmt', 'cluster', 'V3', 'V2', 0.9601423487544484, 0.2929873466491699]
['BV', 13, 'CV', 13, 'cp', 'join', 'V2', 'V2', 0.9717171717171718, 0.1682896614074707]
['CV', 83, 'UV', 4, 'tac', 'cmp', 'V2', 'V2', 0.9522673031026253, 0.12877392768859863]
['BV', 51, 'CV', 79, 'cp', 'fold', 'V0', 'V2', 0.9563182527301092, 0.07758665084838867]
['CV', 74, 'BV', 46, 'pathchk', 'cluster', 'V2', 'V3', 0.955960516324981, 0.21610450744628906]
['CV', 163, 'UV', 28, 'comm', 'strings', 'V3', 'V3', 0.9725439725439725, 1.1515648365020752]
['CV', 49, 'UV', 69, 'tsort', 'sdiff', 'V2', 'V0', 0.8926829268292683, 0.07587981224060059]
['CV', 335, 'BV', 64, 'pathchk', 'openssl', 'V1', 'V2', 0.9946107784431137, 1.3286359310150146]
['BV', 39, 'CV', 225, 'svn', 'printf', 'V1', 'V0', 0.9943899018232819, 0.4171009063720703]
['UV', 63, 'CV', 331, 'elfedit', 'vdir', 'V1', 'V1', 0.9819587628865979, 0.15726709365844727]
['CV', 102, 'UV', 20, 'uptime', 'size', 'V3', 'V2', 0.9667152069898065, 1.3160076141357422]
['UV', 77, 'CV', 218, 'ranlib', 'true', 'V0', 'V0', 0.9982967851820311, 0.45780491828918457]
['CV', 106, 'UV', 74, 'pr', 'strip', 'V3', 'V0', 0.9756057895592779, 2.2014048099517822]
['BV', 60, 'CV', 329, 'codeblocks', 'cat', 'V1', 'V1', 0.9992287917737789, 2.2110273838043213]
['UV', 26, 'BV', 34, 'ranlib', 'svn', 'V3', 'V0', 0.9916897506925207, 6.443785190582275]
['UV', 64, 'CV', 240, 'size', 'link', 'V1', 'V0', 0.9974271012006861, 0.5294826030731201]
['BV', 44, 'UV', 27, 'make', 'c++filt', 'V0', 'V3', 0.9436713055003314, 5.549563646316528]
['CV', 250, 'UV', 47, 'comm', 'sdiff', 'V0', 'V1', 0.8650088809946714, 0.06299757957458496]
['CV', 25, 'BV', 80, 'expand', 'cluster', 'V2', 'V1', 0.9652305366591081, 0.22296929359436035]
['UV', 51, 'BV', 17, 'nm', 'codeblocks', 'V1', 'V2', 0.9805825242718447, 66.72607159614563]
['CV', 341, 'BV', 59, 'uniq', 'make', 'V1', 'V1', 0.9603864734299516, 0.38178515434265137]
['BV', 43, 'CV', 125, 'lua', 'split', 'V0', 'V3', 0.9884476534296028, 0.8670706748962402]
['BV', 78, 'CV', 165, 'make', 'rm', 'V2', 'V3', 0.9767634854771784, 0.786928653717041]
['CV', 146, 'BV', 75, 'head', 'cmp', 'V3', 'V2', 0.9081967213114754, 0.08456301689147949]
['CV', 276, 'UV', 10, 'uptime', 'as', 'V1', 'V2', 0.9840669727248177, 1.1524410247802734]
['UV', 41, 'CV', 40, 'cmp', 'ls', 'V3', 'V2', 0.9130434782608696, 0.16889715194702148]
['BV', 8, 'CV', 30, 'cluster', 'pinky', 'V2', 'V2', 0.9854545454545455, 0.2897756099700928]
['UV', 22, 'CV', 21, 'nm', 'chgrp', 'V3', 'V2', 0.9917780061664954, 1.468984603881836]
['CV', 209, 'UV', 53, 'sum', 'readelf', 'V0', 'V1', 0.9713114754098361, 0.25058507919311523]
['UV', 45, 'BV', 47, 'cmp', 'dot', 'V1', 'V3', 1.0, 0.03981471061706543]
['UV', 73, 'CV', 37, 'nm', 'seq', 'V0', 'V2', 0.9934980494148244, 0.8395917415618896]
['BV', 31, 'CV', 59, 'codeblocks', 'head', 'V0', 'V2', 0.9989487516425756, 3.289180040359497]
['BV', 13, 'CV', 196, 'cp', 'kill', 'V2', 'V0', 0.9858323494687131, 0.09255790710449219]
['UV', 19, 'CV', 220, 'elfedit', 'cut', 'V2', 'V0', 0.9863325740318907, 0.05883431434631348]
['CV', 87, 'UV', 80, 'touch', 'objcopy', 'V3', 'V0', 0.9700472082044603, 2.161522150039673]
['CV', 310, 'BV', 17, 'tsort', 'codeblocks', 'V1', 'V2', 0.9949203124007874, 3.035719394683838]
['CV', 339, 'UV', 58, 'rm', 'objcopy', 'V1', 'V1', 0.9781455889442391, 1.6171393394470215]
['CV', 14, 'BV', 54, 'dirname', 'lua', 'V2', 'V3', 0.9666666666666667, 0.49904489517211914]
['BV', 28, 'CV', 245, 'openssl', '[', 'V1', 'V0', 0.9991026024528866, 2.7285170555114746]
['BV', 81, 'CV', 1, 'dot', 'stat', 'V1', 'V2', 0.9933774834437086, 0.028920888900756836]
['CV', 261, 'BV', 56, 'touch', 'ssh', 'V1', 'V3', 0.9841656516443362, 1.4015040397644043]
['UV', 44, 'CV', 206, 'diff3', 'paste', 'V1', 'V0', 0.9587242026266416, 0.049526214599609375]
['BV', 78, 'CV', 102, 'make', 'uptime', 'V2', 'V3', 0.9864864864864865, 0.5564389228820801]
['CV', 336, 'BV', 71, 'tr', 'ruby', 'V1', 'V1', 0.9918032786885246, 0.01140141487121582]
['CV', 222, 'UV', 48, 'df', 'locate', 'V0', 'V1', 0.919921875, 0.18335652351379395]
['BV', 31, 'CV', 127, 'codeblocks', 'ls', 'V0', 'V3', 0.9967134369864745, 10.599451780319214]
['CV', 145, 'BV', 47, 'readlink', 'dot', 'V3', 'V3', 1.0, 0.04190230369567871]
['CV', 76, 'UV', 58, 'comm', 'objcopy', 'V2', 'V1', 0.9804973183812774, 1.235180139541626]
['CV', 17, 'UV', 28, 'mkfifo', 'strings', 'V2', 'V3', 0.978915001098177, 0.7978212833404541]
['CV', 279, 'UV', 14, 'pwd', 'objcopy', 'V1', 'V2', 0.9809288363058449, 0.8995771408081055]
['CV', 190, 'UV', 85, 'dd', 'elfedit', 'V0', 'V0', 0.9711711711711711, 0.09592270851135254]
['BV', 23, 'CV', 331, 'diff', 'vdir', 'V3', 'V1', 0.9612456747404844, 0.3910825252532959]
['BV', 79, 'UV', 19, 'bash', 'elfedit', 'V3', 'V2', 0.9990181639666176, 1.837824821472168]
['CV', 143, 'UV', 68, 'yes', 'diff', 'V3', 'V0', 0.8945273631840795, 0.15264105796813965]
['BV', 71, 'CV', 100, 'ruby', 'join', 'V1', 'V3', 0.990521327014218, 0.019146442413330078]
['CV', 54, 'UV', 53, 'false', 'readelf', 'V2', 'V1', 0.979296066252588, 0.2025928497314453]
['BV', 1, 'CV', 311, 'libSDL2-2.0.so', 'cksum', 'V3', 'V1', 0.9981760145918832, 1.023496150970459]
['BV', 73, 'CV', 209, 'geany', 'sum', 'V0', 'V0', 0.9994610907523173, 3.0887556076049805]
['BV', 30, 'CV', 262, 'bash', 'stat', 'V0', 'V1', 0.9986232216613126, 1.9272708892822266]
['CV', 138, 'BV', 63, 'printf', 'ruby', 'V3', 'V0', 0.9905320108205591, 6.511430263519287]
['CV', 47, 'BV', 27, 'od', 'libSDL2-2.0.so', 'V2', 'V1', 0.9764163730008132, 2.8672642707824707]
['CV', 242, 'BV', 72, 'cat', 'perl', 'V0', 'V1', 0.991439114391144, 1.5941541194915771]
['BV', 35, 'CV', 221, 'libvlccore.so', 'od', 'V2', 'V0', 0.9986202138668506, 1.8958179950714111]
['BV', 49, 'CV', 205, 'make', 'sha1sum', 'V3', 'V0', 0.9917845732542219, 0.34403014183044434]
['UV', 6, 'BV', 65, 'sdiff', 'ssh', 'V2', 'V1', 0.9810853411393831, 4.086806774139404]
['CV', 65, 'BV', 78, 'env', 'make', 'V2', 'V2', 0.9661344944363812, 0.3216891288757324]
['UV', 78, 'CV', 207, 'c++filt', 'sync', 'V0', 'V0', 0.9986244841815681, 0.4572572708129883]
['CV', 103, 'UV', 12, 'dd', 'c++filt', 'V3', 'V2', 0.9616161616161616, 2.0794036388397217]
['CV', 3, 'BV', 49, 'test', 'make', 'V2', 'V3', 0.9560931899641577, 0.40954065322875977]
['UV', 69, 'CV', 293, 'sdiff', 'paste', 'V0', 'V1', 0.9488117001828154, 0.053063392639160156]
['CV', 222, 'UV', 71, 'df', 'xargs', 'V0', 'V0', 0.903420523138833, 0.06073594093322754]
['BV', 61, 'CV', 120, 'cmp', 'sync', 'V0', 'V3', 0.9019073569482289, 0.03759765625]
['CV', 145, 'UV', 18, 'readlink', 'ar', 'V3', 'V2', 0.9680031601817104, 1.3596620559692383]
['BV', 54, 'CV', 124, 'lua', 'seq', 'V3', 'V3', 0.993190962550294, 0.7558619976043701]
['CV', 246, 'BV', 79, 'id', 'bash', 'V0', 'V3', 0.9877130400317082, 1.5715444087982178]
['UV', 42, 'BV', 13, 'diff', 'cp', 'V3', 'V2', 0.9590824550526968, 0.503619909286499]
['CV', 324, 'BV', 6, 'mv', 'libvlc.so', 'V1', 'V0', 0.9721792890262752, 0.7848472595214844]
['CV', 121, 'BV', 34, 'echo', 'svn', 'V3', 'V0', 0.9764821166095051, 0.5073237419128418]
['UV', 5, 'CV', 19, 'diff', 'pr', 'V2', 'V2', 0.9728217426059153, 0.2401900291442871]
['CV', 322, 'BV', 39, 'ginstall', 'svn', 'V1', 'V1', 0.9738241308793456, 1.1101131439208984]
['UV', 55, 'CV', 260, 'ranlib', 'ln', 'V1', 'V0', 0.9960159362549801, 0.8832461833953857]
['UV', 75, 'CV', 0, 'readelf', 'touch', 'V0', 'V2', 0.9892617449664429, 0.30915355682373047]
['CV', 170, 'BV', 14, 'tac', 'openssl', 'V3', 'V3', 0.9922231161169214, 2.736609935760498]
['CV', 147, 'UV', 36, 'hostid', 'objdump', 'V3', 'V3', 0.9841681452163232, 1.442258358001709]
['CV', 37, 'UV', 54, 'seq', 'as', 'V2', 'V1', 0.9825221833826298, 1.4394376277923584]
['BV', 59, 'CV', 320, 'make', 'head', 'V1', 'V1', 0.9951714147754708, 0.34421586990356445]
['BV', 56, 'CV', 80, 'ssh', 'uniq', 'V3', 'V2', 0.9972723139869677, 1.3665027618408203]
['UV', 14, 'CV', 200, 'objcopy', 'date', 'V2', 'V0', 0.9968602825745683, 1.1644411087036133]
['CV', 257, 'UV', 54, 'tac', 'as', 'V0', 'V1', 0.9706417251234086, 2.8238890171051025]
['UV', 3, 'CV', 345, 'diff3', 'rmdir', 'V2', 'V1', 0.9584120982986768, 0.04880666732788086]
['CV', 182, 'BV', 9, 'du', 'dot', 'V0', 'V2', 1.0, 0.054482460021972656]
['CV', 116, 'UV', 7, 'tail', 'nm', 'V3', 'V2', 0.9650377433452523, 1.9422738552093506]
['BV', 72, 'CV', 279, 'perl', 'pwd', 'V1', 'V1', 0.9991158267020336, 1.6868255138397217]
['UV', 43, 'BV', 18, 'sdiff', 'sort', 'V3', 'V3', 0.8953211736716892, 0.28682994842529297]
['CV', 304, 'BV', 3, 'chmod', 'diff', 'V1', 'V1', 0.9059674502712477, 0.21380829811096191]
['BV', 25, 'CV', 109, 'git', 'kill', 'V3', 'V3', 0.9990480399823207, 5.542004346847534]
['CV', 128, 'UV', 36, 'nice', 'objdump', 'V3', 'V3', 0.9847390652677477, 1.6541645526885986]
['BV', 37, 'CV', 82, 'geany', 'sort', 'V1', 'V2', 0.9981635370276847, 11.28673791885376]
['UV', 40, 'CV', 90, 'diff3', 'test', 'V3', 'V3', 0.9176136363636364, 0.09907364845275879]
['CV', 268, 'UV', 0, 'dir', 'locate', 'V1', 'V2', 0.9233716475095786, 0.2368462085723877]
['CV', 327, 'UV', 67, 'link', 'cmp', 'V1', 'V0', 0.861904761904762, 0.03957772254943848]
['CV', 71, 'BV', 0, '[', 'bash', 'V2', 'V2', 0.9846515911183874, 1.8208470344543457]
['BV', 34, 'CV', 190, 'svn', 'dd', 'V0', 'V0', 0.9858557284299858, 0.5762617588043213]
['CV', 220, 'UV', 42, 'cut', 'diff', 'V0', 'V3', 0.895117540687161, 0.15547752380371094]
['CV', 28, 'BV', 24, 'chown', 'git', 'V2', 'V0', 0.9829984544049459, 5.279577255249023]
['UV', 71, 'CV', 175, 'xargs', 'stat', 'V0', 'V0', 0.8990384615384616, 0.04486441612243652]
['CV', 276, 'BV', 46, 'uptime', 'cluster', 'V1', 'V3', 0.9491916859122402, 0.22188043594360352]
['CV', 62, 'BV', 53, 'unexpand', 'ssh', 'V2', 'V2', 0.985116561621991, 2.2646641731262207]
['UV', 61, 'CV', 210, 'addr2line', 'chroot', 'V1', 'V0', 0.9974215728405672, 0.5509512424468994]
['UV', 31, 'CV', 67, 'gprof', 'uname', 'V3', 'V2', 0.9983851433185305, 0.7756164073944092]
['UV', 22, 'CV', 327, 'nm', 'link', 'V3', 'V1', 0.9965240060829893, 0.5524857044219971]
['CV', 209, 'UV', 6, 'sum', 'sdiff', 'V0', 'V2', 0.8885017421602788, 0.06775069236755371]
['UV', 9, 'CV', 6, 'readelf', 'fmt', 'V2', 'V2', 0.9920364050056882, 0.27637505531311035]
['CV', 312, 'BV', 81, 'printf', 'dot', 'V1', 'V1', 0.9923371647509579, 0.025408267974853516]
['CV', 17, 'UV', 63, 'mkfifo', 'elfedit', 'V2', 'V1', 0.9819819819819819, 0.06124472618103027]
['UV', 76, 'CV', 74, 'as', 'pathchk', 'V0', 'V2', 0.9977394744278044, 1.0665414333343506]
['CV', 169, 'BV', 34, 'sort', 'svn', 'V3', 'V0', 0.9724907063197026, 1.5637803077697754]
['CV', 333, 'BV', 37, 'id', 'geany', 'V1', 'V1', 0.994085062435452, 4.778412818908691]
['CV', 104, 'BV', 32, 'mkfifo', 'perl', 'V3', 'V0', 0.9862614096170133, 1.9436533451080322]
['UV', 12, 'CV', 175, 'c++filt', 'stat', 'V2', 'V0', 0.9969545355666739, 0.7933335304260254]
['CV', 210, 'UV', 15, 'chroot', 'ld', 'V0', 'V2', 0.9878630255743389, 0.8783299922943115]
['CV', 94, 'BV', 26, 'dir', 'geany', 'V3', 'V2', 0.9879738562091503, 20.463534116744995]
['CV', 199, 'UV', 58, 'expand', 'objcopy', 'V0', 'V1', 0.9838576840718168, 0.8647787570953369]
['UV', 22, 'CV', 101, 'nm', 'dirname', 'V3', 'V3', 0.9953091684434968, 0.8557789325714111]
['BV', 36, 'UV', 3, 'libvlc.so', 'diff3', 'V2', 'V2', 0.9911268855368234, 0.6872668266296387]
['UV', 22, 'CV', 56, 'nm', 'yes', 'V3', 'V2', 0.9965546942291128, 0.6895420551300049]
['UV', 51, 'CV', 89, 'nm', 'unlink', 'V1', 'V3', 0.9971014492753624, 0.8770372867584229]
['BV', 26, 'CV', 213, 'geany', 'whoami', 'V2', 'V0', 0.999639996399964, 2.6430370807647705]
['BV', 57, 'CV', 2, 'svn', 'unlink', 'V2', 'V2', 0.9915769770706598, 0.3771402835845947]
['CV', 32, 'BV', 12, 'paste', 'sort', 'V2', 'V2', 0.8637992831541219, 0.10654997825622559]
['CV', 77, 'BV', 67, 'nl', 'cluster', 'V2', 'V0', 0.9557291666666666, 0.4710359573364258]
['UV', 6, 'CV', 55, 'sdiff', 'nohup', 'V2', 'V2', 0.9575163398692811, 0.07531261444091797]
['UV', 7, 'CV', 96, 'nm', 'users', 'V2', 'V3', 0.9962570180910792, 1.007286787033081]
['BV', 59, 'CV', 315, 'make', 'false', 'V1', 'V1', 0.993942453306411, 0.2148299217224121]
['BV', 75, 'UV', 28, 'cmp', 'strings', 'V2', 'V3', 0.9737690819178672, 1.2014610767364502]
['CV', 12, 'BV', 79, 'stty', 'bash', 'V2', 'V3', 0.9866953629426727, 2.526088237762451]
['BV', 41, 'UV', 38, 'libvlccore.so', 'xargs', 'V1', 'V3', 0.9972667412100882, 3.0619497299194336]
['CV', 316, 'UV', 10, 'nohup', 'as', 'V1', 'V2', 0.9816191377213137, 1.1101641654968262]
['CV', 233, 'BV', 67, 'head', 'cluster', 'V0', 'V0', 0.9616026711185309, 0.21059513092041016]
['UV', 16, 'CV', 113, 'gprof', 'date', 'V2', 'V3', 0.9954836281520512, 1.8141529560089111]
['UV', 21, 'CV', 32, 'objdump', 'paste', 'V2', 'V2', 0.9978189749182116, 1.0060269832611084]
['CV', 33, 'BV', 23, 'sync', 'diff', 'V2', 'V3', 0.9123287671232877, 0.14477229118347168]
['CV', 257, 'BV', 62, 'tac', 'diff', 'V0', 'V0', 0.9106598984771573, 0.19818902015686035]
['CV', 117, 'UV', 37, 'pinky', 'locate', 'V3', 'V3', 0.9736147757255936, 0.27190375328063965]
['BV', 35, 'CV', 73, 'libvlccore.so', 'shred', 'V2', 'V2', 0.9981855295985484, 2.7605340480804443]
['UV', 44, 'CV', 272, 'diff3', 'printenv', 'V1', 'V1', 0.9844961240310077, 0.04363751411437988]
['CV', 233, 'BV', 72, 'head', 'perl', 'V0', 'V1', 0.9898589065255732, 1.9718289375305176]
['BV', 30, 'UV', 14, 'bash', 'objcopy', 'V0', 'V2', 0.9863091842555619, 33.614930868148804]
['BV', 45, 'CV', 104, 'svn', 'mkfifo', 'V3', 'V3', 0.9957983193277311, 0.6331250667572021]
['CV', 239, 'BV', 45, 'env', 'svn', 'V0', 'V3', 0.9846827133479212, 0.41772007942199707]
